,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale,SquaredBEDS,cubedBEDS,quadraBEDS,SquaredBATHS,cubedBATHS,quadraBATHS,SquaredSQFT,cubedSQFT,quadraSQFT,SquaredLotSize,cubedLotSize,quadraLotSize,SquaredYearBuilt,cubedYearBuilt,quadraYearBuilt,SquaredAge,cubedAge,quadraAge,SquaredParkingSpots,cubedParkingSpots,quadraParkingSpots,SquaredDOM,cubedDOM,quadraDOM
0,214000,3,2.0,1954,6969.0,1918,96,2,1,117,1,1,0,9,27,81,4.0,8.0,16.0,3818116,7460598664,14578009789456,48566961.0,338463151209.0,2358749700775521.0,3678724,7055792632,13533010268176,9216,884736,84934656,4,8,16,13689,1601613,187388721
1,134900,3,1.0,1028,4356.0,1911,103,1,1,93,1,1,0,9,27,81,1.0,1.0,1.0,1056784,1086373952,1116792422656,18974736.0,82653950016.0,360040606269696.0,3651921,6978821031,13336526990241,10609,1092727,112550881,1,1,1,8649,804357,74805201
2,129722,4,1.0,1420,5227.0,1900,114,0,0,77,1,0,0,16,64,256,1.0,1.0,1.0,2016400,2863288000,4065868960000,27321529.0,142809632083.0,746465946897841.0,3610000,6859000000,13032100000000,12996,1481544,168896016,0,0,0,5929,456533,35153041
3,134900,2,1.75,904,8712.0,1928,86,3,1,57,1,0,0,4,8,16,3.0625,5.359375,9.37890625,817216,738763264,667841990656,75898944.0,661231600128.0,5760649700315136.0,3717184,7166730752,13817456889856,7396,636056,54700816,9,27,81,3249,185193,10556001
4,444900,4,2.5,2014,12632.0,2014,0,3,1,8,0,0,0,16,64,256,6.25,15.625,39.0625,4056196,8169178744,16452725990416,159567424.0,2015655699968.0,2.5461762801995776e+16,4056196,8169178744,16452725990416,0,0,0,9,27,81,64,512,4096
5,134900,4,1.0,1980,4791.0,1904,110,2,1,117,1,1,0,16,64,256,1.0,1.0,1.0,3920400,7762392000,15369536160000,22953681.0,109971085671.0,526871471449761.0,3625216,6902411264,13142191046656,12100,1331000,146410000,4,8,16,13689,1601613,187388721
6,159000,3,2.0,1594,3484.0,1900,114,2,1,8,0,1,0,9,27,81,4.0,8.0,16.0,2540836,4050092584,6455847578896,12138256.0,42289683904.0,147337258721536.0,3610000,6859000000,13032100000000,12996,1481544,168896016,4,8,16,64,512,4096
7,69900,3,1.25,1255,7405.0,1894,120,3,1,91,0,0,0,9,27,81,1.5625,1.953125,2.44140625,1575025,1976656375,2480703750625,54834025.0,406045955125.0,3006770297700625.0,3587236,6794224984,12868262119696,14400,1728000,207360000,9,27,81,8281,753571,68574961
8,79990,2,1.25,816,4791.0,1927,87,1,1,5,0,0,1,4,8,16,1.5625,1.953125,2.44140625,665856,543338496,443364212736,22953681.0,109971085671.0,526871471449761.0,3713329,7155584983,13788812262241,7569,658503,57289761,1,1,1,25,125,625
9,69900,3,1.5,1200,4791.0,1876,138,0,0,68,0,1,0,9,27,81,2.25,3.375,5.0625,1440000,1728000000,2073600000000,22953681.0,109971085671.0,526871471449761.0,3519376,6602349376,12386007429376,19044,2628072,362673936,0,0,0,4624,314432,21381376
10,249900,3,1.75,2056,6098.0,1952,62,1,1,77,0,0,0,9,27,81,3.0625,5.359375,9.37890625,4227136,8690991616,17868678762496,37185604.0,226757813192.0,1382769144844816.0,3810304,7437713408,14518416572416,3844,238328,14776336,1,1,1,5929,456533,35153041
11,149900,5,1.75,1602,4791.0,1915,99,2,1,37,0,1,0,25,125,625,3.0625,5.359375,9.37890625,2566404,4111379208,6586429491216,22953681.0,109971085671.0,526871471449761.0,3667225,7022735875,13448539200625,9801,970299,96059601,4,8,16,1369,50653,1874161
12,177500,2,1.0,1538,4791.0,1929,85,1,1,75,0,0,0,4,8,16,1.0,1.0,1.0,2365444,3638052872,5595325317136,22953681.0,109971085671.0,526871471449761.0,3721041,7177888089,13846146123681,7225,614125,52200625,1,1,1,5625,421875,31640625
13,144900,3,1.0,1108,4791.0,1947,67,2,1,9,0,0,0,9,27,81,1.0,1.0,1.0,1227664,1360251712,1507158896896,22953681.0,109971085671.0,526871471449761.0,3790809,7380705123,14370232874481,4489,300763,20151121,4,8,16,81,729,6561
14,464900,3,1.75,2132,12196.0,1956,58,2,1,34,0,0,0,9,27,81,3.0625,5.359375,9.37890625,4545424,9690843968,20660879339776,148742416.0,1814062505536.0,2.2124306317517056e+16,3825936,7483530816,14637786276096,3364,195112,11316496,4,8,16,1156,39304,1336336
15,72000,3,2.0,1644,6969.0,1914,100,2,1,9,0,0,0,9,27,81,4.0,8.0,16.0,2702736,4443297984,7304781885696,48566961.0,338463151209.0,2358749700775521.0,3663396,7011739944,13420470252816,10000,1000000,100000000,4,8,16,81,729,6561
16,147500,3,1.0,1455,5662.0,1953,61,5,1,100,1,1,0,9,27,81,1.0,1.0,1.0,2117025,3080271375,4481794850625,32058244.0,181513777528.0,1027731008363536.0,3814209,7449150177,14548190295681,3721,226981,13845841,25,125,625,10000,1000000,100000000
17,119900,2,1.0,735,5662.0,1946,68,1,1,37,0,0,0,4,8,16,1.0,1.0,1.0,540225,397065375,291843050625,32058244.0,181513777528.0,1027731008363536.0,3786916,7369338536,14340732791056,4624,314432,21381376,1,1,1,1369,50653,1874161
18,57500,3,2.0,1117,4791.0,1908,106,2,1,84,1,0,0,9,27,81,4.0,8.0,16.0,1247689,1393668613,1556727840721,22953681.0,109971085671.0,526871471449761.0,3640464,6946005312,13252978135296,11236,1191016,126247696,4,8,16,7056,592704,49787136
19,80000,2,1.5,776,5662.0,1917,97,2,1,19,0,0,1,4,8,16,2.25,3.375,5.0625,602176,467288576,362615934976,32058244.0,181513777528.0,1027731008363536.0,3674889,7044762213,13504809162321,9409,912673,88529281,4,8,16,361,6859,130321
20,214900,3,1.75,1434,6098.0,1951,63,2,1,70,0,0,0,9,27,81,3.0625,5.359375,9.37890625,2056356,2948814504,4228599998736,37185604.0,226757813192.0,1382769144844816.0,3806401,7426288351,14488688572801,3969,250047,15752961,4,8,16,4900,343000,24010000
21,154900,4,2.0,1834,4791.0,1906,108,2,1,21,0,1,0,16,64,256,4.0,8.0,16.0,3363556,6168761704,11313508965136,22953681.0,109971085671.0,526871471449761.0,3632836,6924185416,13197497402896,11664,1259712,136048896,4,8,16,441,9261,194481
22,79900,2,1.0,700,5662.0,1910,104,1,1,77,1,1,0,4,8,16,1.0,1.0,1.0,490000,343000000,240100000000,32058244.0,181513777528.0,1027731008363536.0,3648100,6967871000,13308633610000,10816,1124864,116985856,1,1,1,5929,456533,35153041
23,129900,3,1.75,1252,4791.0,1921,93,2,1,76,0,0,0,9,27,81,3.0625,5.359375,9.37890625,1567504,1962515008,2457068790016,22953681.0,109971085671.0,526871471449761.0,3690241,7088952961,13617878638081,8649,804357,74805201,4,8,16,5776,438976,33362176
24,699900,7,4.25,3955,6534.0,1923,91,2,1,7,0,0,0,49,343,2401,18.0625,76.765625,326.25390625,15642025,61864208875,244672946100625,42693156.0,278957081304.0,1822705569240336.0,3697929,7111117467,13674678889041,8281,753571,68574961,4,8,16,49,343,2401
25,364900,3,2.25,1848,6098.0,1938,76,3,1,92,1,1,0,9,27,81,5.0625,11.390625,25.62890625,3415104,6311112192,11662935330816,37185604.0,226757813192.0,1382769144844816.0,3755844,7278825672,14106364152336,5776,438976,33362176,9,27,81,8464,778688,71639296
26,94850,2,1.0,936,4791.0,1926,88,2,1,137,0,1,0,4,8,16,1.0,1.0,1.0,876096,820025856,767544201216,22953681.0,109971085671.0,526871471449761.0,3709476,7144450776,13760212194576,7744,681472,59969536,4,8,16,18769,2571353,352275361
27,104900,2,1.0,936,10454.0,1919,95,9,1,20,0,0,0,4,8,16,1.0,1.0,1.0,876096,820025856,767544201216,109286116.0,1142477056664.0,1.1943455150365456e+16,3682561,7066834559,13561255518721,9025,857375,81450625,81,729,6561,400,8000,160000
28,225000,4,1.0,1818,38768.0,1900,114,2,1,137,1,0,0,16,64,256,1.0,1.0,1.0,3305124,6008715432,10923844655376,1502957824.0,58266668920832.0,2.258882220722815e+18,3610000,6859000000,13032100000000,12996,1481544,168896016,4,8,16,18769,2571353,352275361
29,259800,3,1.5,1295,4356.0,1909,105,1,1,51,0,1,0,9,27,81,2.25,3.375,5.0625,1677025,2171747375,2812412850625,18974736.0,82653950016.0,360040606269696.0,3644281,6956932429,13280784006961,11025,1157625,121550625,1,1,1,2601,132651,6765201
30,199900,3,1.0,1600,6098.0,1922,92,2,1,117,0,1,0,9,27,81,1.0,1.0,1.0,2560000,4096000000,6553600000000,37185604.0,226757813192.0,1382769144844816.0,3694084,7100029448,13646256599056,8464,778688,71639296,4,8,16,13689,1601613,187388721
31,186900,2,1.0,938,5662.0,1926,88,1,1,86,1,0,0,4,8,16,1.0,1.0,1.0,879844,825293672,774125464336,32058244.0,181513777528.0,1027731008363536.0,3709476,7144450776,13760212194576,7744,681472,59969536,1,1,1,7396,636056,54700816
32,123900,4,1.0,1075,5227.0,1922,92,3,1,15,0,0,0,16,64,256,1.0,1.0,1.0,1155625,1242296875,1335469140625,27321529.0,142809632083.0,746465946897841.0,3694084,7100029448,13646256599056,8464,778688,71639296,9,27,81,225,3375,50625
34,699900,6,4.25,5223,26136.0,1912,102,12,1,44,1,0,0,36,216,1296,18.0625,76.765625,326.25390625,27279729,142482024567,744183614313441,683090496.0,17853253203456.0,4.66612625725526e+17,3655744,6989782528,13364464193536,10404,1061208,108243216,144,1728,20736,1936,85184,3748096
36,149990,3,2.0,1220,4791.0,2014,0,1,1,104,0,1,0,9,27,81,4.0,8.0,16.0,1488400,1815848000,2215334560000,22953681.0,109971085671.0,526871471449761.0,4056196,8169178744,16452725990416,0,0,0,1,1,1,10816,1124864,116985856
