ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,LATITUDE,LONGITUDE,ShortSale
214000,3,2,1954,6969,1918,96,2,Garage,117,Y,Y,44.991634,-93.142616,N
134900,3,1,1028,4356,1911,103,1,Garage,93,Y,Y,44.957291,-93.142624,N
129722,4,1,1420,5227,1900,114,0,No,77,Y,N,44.954708,-93.057976,N
134900,2,1.75,904,8712,1928,86,3,Garage,57,Y,N,44.952404,-93.142693,N
444900,4,2.5,2014,12632,2014,0,3,Garage,8,N,N,44.944391,-93.141348,N
134900,4,1,1980,4791,1904,110,2,Garage,117,Y,Y,44.964642,-93.057945,N
159000,3,2,1594,3484,1900,114,2,Garage,8,N,Y,45.012962,-93.244789,N
69900,3,1.25,1255,7405,1894,120,3,Garage,91,N,N,44.971966,-93.05616,N
79990,2,1.25,816,4791,1927,87,1,Garage,5,N,N,44.977798,-93.057526,Y
69900,3,1.5,1200,4791,1876,138,0,No,68,N,Y,44.960121,-93.057121,N
249900,3,1.75,2056,6098,1952,62,1,Garage,77,N,N,44.910465,-93.181953,N
149900,5,1.75,1602,4791,1915,99,2,Garage,37,N,Y,44.954582,-93.143738,N
177500,2,1,1538,4791,1929,85,1,Garage,75,N,N,44.972698,-93.134132,N
144900,3,1,1108,4791,1947,67,2,Garage,9,N,N,44.962364,-93.144569,N
464900,3,1.75,2132,12196,1956,58,2,Garage,34,N,N,44.909348,-93.180634,N
72000,3,2,1644,6969,1914,100,2,Garage,9,N,N,44.958725,-93.145119,N
147500,3,1,1455,5662,1953,61,5,Garage,100,Y,Y,44.973854,-93.029457,N
119900,2,1,735,5662,1946,68,1,Garage,37,N,N,44.965065,-93.145378,N
57500,3,2,1117,4791,1908,106,2,Garage,84,Y,N,44.973686,-93.108864,N
80000,2,1.5,776,5662,1917,97,2,Garage,19,N,N,44.97377,-93.118416,Y
214900,3,1.75,1434,6098,1951,63,2,Garage,70,N,N,44.90863,-93.187813,N
154900,4,2,1834,4791,1906,108,2,Garage,21,N,Y,44.973911,-93.110695,N
79900,2,1,700,5662,1910,104,1,Garage,77,Y,Y,44.973938,-93.115227,N
129900,3,1.75,1252,4791,1921,93,2,Garage,76,N,N,44.975998,-93.054565,N
699900,7,4.25,3955,6534,1923,91,2,Garage,7,N,N,44.933537,-93.145943,N
364900,3,2.25,1848,6098,1938,76,3,Garage,92,Y,Y,44.93922,-93.146172,N
94850,2,1,936,4791,1926,88,2,Garage,137,N,Y,44.960629,-93.054131,N
104900,2,1,936,10454,1919,95,9,Garage,20,N,N,44.951061,-93.05423,N
225000,4,1,1818,38768,1900,114,2,Garage,137,Y,N,44.990578,-93.101143,N
259800,3,1.5,1295,4356,1909,105,1,Garage,51,N,Y,44.915787,-93.278603,N
199900,3,1,1600,6098,1922,92,2,Garage,117,N,Y,44.980007,-93.054131,N
186900,2,1,938,5662,1926,88,1,Garage,86,Y,N,44.927601,-93.146851,N
123900,4,1,1075,5227,1922,92,3,Garage,15,N,N,44.97456,-93.0504,N
389000,3,3,2328,,1921,93,4,Garage,137,Y,N,44.980007,-93.053955,N
699900,6,4.25,5223,26136,1912,102,12,Garage,44,Y,N,44.940853,-93.147011,N
319000,2,1.75,1430,,2013,1,2,Garage,137,Y,N,44.957136,-93.004931,N
149990,3,2,1220,4791,2014,0,1,Garage,104,N,Y,44.966068,-93.053917,N
