,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale
0,214000,3,2.0,1954,6969.0,1918,96,2,1,117,1,1,0
1,134900,3,1.0,1028,4356.0,1911,103,1,1,93,1,1,0
2,129722,4,1.0,1420,5227.0,1900,114,0,0,77,1,0,0
3,134900,2,1.75,904,8712.0,1928,86,3,1,57,1,0,0
4,444900,4,2.5,2014,12632.0,2014,0,3,1,8,0,0,0
5,134900,4,1.0,1980,4791.0,1904,110,2,1,117,1,1,0
6,159000,3,2.0,1594,3484.0,1900,114,2,1,8,0,1,0
7,69900,3,1.25,1255,7405.0,1894,120,3,1,91,0,0,0
8,79990,2,1.25,816,4791.0,1927,87,1,1,5,0,0,1
9,69900,3,1.5,1200,4791.0,1876,138,0,0,68,0,1,0
10,249900,3,1.75,2056,6098.0,1952,62,1,1,77,0,0,0
11,149900,5,1.75,1602,4791.0,1915,99,2,1,37,0,1,0
12,177500,2,1.0,1538,4791.0,1929,85,1,1,75,0,0,0
13,144900,3,1.0,1108,4791.0,1947,67,2,1,9,0,0,0
14,464900,3,1.75,2132,12196.0,1956,58,2,1,34,0,0,0
15,72000,3,2.0,1644,6969.0,1914,100,2,1,9,0,0,0
16,147500,3,1.0,1455,5662.0,1953,61,5,1,100,1,1,0
17,119900,2,1.0,735,5662.0,1946,68,1,1,37,0,0,0
18,57500,3,2.0,1117,4791.0,1908,106,2,1,84,1,0,0
19,80000,2,1.5,776,5662.0,1917,97,2,1,19,0,0,1
20,214900,3,1.75,1434,6098.0,1951,63,2,1,70,0,0,0
21,154900,4,2.0,1834,4791.0,1906,108,2,1,21,0,1,0
22,79900,2,1.0,700,5662.0,1910,104,1,1,77,1,1,0
23,129900,3,1.75,1252,4791.0,1921,93,2,1,76,0,0,0
24,699900,7,4.25,3955,6534.0,1923,91,2,1,7,0,0,0
25,364900,3,2.25,1848,6098.0,1938,76,3,1,92,1,1,0
26,94850,2,1.0,936,4791.0,1926,88,2,1,137,0,1,0
27,104900,2,1.0,936,10454.0,1919,95,9,1,20,0,0,0
28,225000,4,1.0,1818,38768.0,1900,114,2,1,137,1,0,0
29,259800,3,1.5,1295,4356.0,1909,105,1,1,51,0,1,0
30,199900,3,1.0,1600,6098.0,1922,92,2,1,117,0,1,0
31,186900,2,1.0,938,5662.0,1926,88,1,1,86,1,0,0
32,123900,4,1.0,1075,5227.0,1922,92,3,1,15,0,0,0
34,699900,6,4.25,5223,26136.0,1912,102,12,1,44,1,0,0
36,149990,3,2.0,1220,4791.0,2014,0,1,1,104,0,1,0
37,499999,3,2.5,2402,6969.0,1931,83,2,1,56,1,1,0
38,129900,3,2.25,1496,3484.0,2006,8,2,1,63,0,1,0
39,129900,3,1.25,964,8276.0,1970,44,2,1,5,0,0,1
40,169900,3,1.5,1480,4791.0,1926,88,3,1,45,0,0,0
41,850000,4,3.25,3646,8712.0,1932,82,2,1,137,1,0,1
42,129900,2,1.5,1781,3920.0,1923,91,1,1,19,0,0,1
43,129900,2,1.5,1407,4791.0,1909,105,2,1,33,1,0,0
44,76500,3,1.0,1108,2613.0,1890,124,1,1,36,0,0,1
45,369900,3,2.75,1870,6098.0,1922,92,1,1,89,1,0,0
46,129900,3,1.0,1005,4791.0,1920,94,2,1,77,1,0,0
48,99900,4,1.75,1900,4791.0,1926,88,1,1,119,1,0,0
49,119900,3,2.0,1696,6969.0,1912,102,2,1,112,1,0,0
50,134900,3,1.0,1110,6534.0,1949,65,3,1,8,0,1,0
51,549000,4,1.5,2012,7840.0,1923,91,1,1,47,1,0,0
52,124900,3,2.25,2179,8712.0,1911,103,5,1,113,1,0,0
53,229900,3,1.5,1835,4791.0,1906,108,2,1,137,1,1,1
54,139900,4,1.75,1400,5227.0,1938,76,1,1,75,1,1,0
55,123900,3,1.0,1148,10890.0,1888,126,2,1,112,1,0,0
56,152900,4,1.75,1904,3920.0,1922,92,1,1,7,0,0,0
57,129900,4,1.75,1424,5227.0,1948,66,1,1,110,0,1,0
58,62400,1,1.0,510,4791.0,1928,86,1,1,119,0,0,0
59,124900,2,1.0,676,4791.0,1940,74,2,1,56,0,0,0
